"participant","block","CorrectRecallOld","ForgetRecallOld","CorrectRecallNew","NewRecallOld","AgeGroup","ToD_Condition","collected_by"
"Sub016_ToD","2",16,4,8,1,"YA","Night","Julia"
"Sub016_ToD","3",19,1,7,0,"YA","Night","Julia"
"Sub016_ToD","Overall",53,7,23,1,"YA","Night","Julia"
"Sub017_ToD","1",18,2,8,0,"OA","Morning","Julia"
"Sub017_ToD","2",17,3,8,0,"OA","Morning","Julia"
"Sub017_ToD","3",19,1,6,2,"OA","Morning","Julia"
"Sub017_ToD","Overall",54,6,22,2,"OA","Morning","Julia"
"Sub018_ToD","1",16,4,8,0,"OA","Night","Julia"
"Sub018_ToD","2",16,4,9,0,"OA","Night","Julia"
"Sub018_ToD","3",16,4,6,1,"OA","Night","Julia"
"Sub018_ToD","Overall",48,12,23,1,"OA","Night","Julia"
"Sub019_ToD","1",16,4,8,0,"YA","Morning","Julia"
"Sub019_ToD","2",20,0,8,0,"YA","Morning","Julia"
"Sub019_ToD","3",20,0,8,0,"YA","Morning","Julia"
"Sub019_ToD","Overall",56,4,24,0,"YA","Morning","Julia"
"Sub020_ToD","1",18,2,8,0,"OA","Morning","Julia"
"Sub020_ToD","2",16,4,7,1,"OA","Morning","Julia"
"Sub020_ToD","3",17,3,8,0,"OA","Morning","Julia"
"Sub020_ToD","Overall",51,9,23,1,"OA","Morning","Julia"
"Sub021_ToD","1",19,1,8,0,"YA","Night","Julia"
"Sub021_ToD","2",18,2,8,0,"YA","Night","Julia"
"Sub021_ToD","3",20,0,8,0,"YA","Night","Julia"
"Sub021_ToD","Overall",57,3,24,0,"YA","Night","Julia"
"Sub022_ToD","1",18,2,7,1,"YA","Night","Julia"
"Sub022_ToD","2",17,3,8,0,"YA","Night","Julia"
"Sub022_ToD","3",16,4,8,0,"YA","Night","Julia"
"Sub022_ToD","Overall",51,9,23,1,"YA","Night","Julia"
"Sub023_ToD","1",15,5,8,0,"YA","Night","Julia"
"Sub023_ToD","2",16,4,8,0,"YA","Night","Julia"
"Sub023_ToD","3",14,6,8,0,"YA","Night","Julia"
"Sub023_ToD","Overall",45,15,24,0,"YA","Night","Julia"
"Sub024_ToD","1",15,5,7,1,"YA","Night","Julia"
"Sub024_ToD","2",16,4,9,0,"YA","Night","Julia"
"Sub024_ToD","3",13,7,7,0,"YA","Night","Julia"
"Sub024_ToD","Overall",44,16,23,1,"YA","Night","Julia"
"Sub025_ToD","1",13,7,8,0,"OA","Morning","Julia"
"Sub025_ToD","2",17,3,9,0,"OA","Morning","Julia"
"Sub025_ToD","3",18,2,7,0,"OA","Morning","Julia"
"Sub025_ToD","Overall",48,12,24,0,"OA","Morning","Julia"
"Sub026_ToD","1",18,2,7,1,"YA","Morning","Julia"
"Sub026_ToD","2",19,1,8,0,"YA","Morning","Julia"
"Sub026_ToD","3",17,3,8,0,"YA","Morning","Julia"
"Sub026_ToD","Overall",54,6,23,1,"YA","Morning","Julia"
"Sub027_ToD","1",19,1,8,0,"OA","Night","Julia"
"Sub027_ToD","2",20,0,9,0,"OA","Night","Julia"
"Sub027_ToD","3",17,3,7,0,"OA","Night","Julia"
"Sub027_ToD","Overall",56,4,24,0,"OA","Night","Julia"
"Sub028_ToD","1",18,2,8,0,"OA","Night","Julia"
"Sub028_ToD","2",18,2,7,2,"OA","Night","Julia"
"Sub028_ToD","3",20,0,6,1,"OA","Night","Julia"
"Sub028_ToD","Overall",56,4,21,3,"OA","Night","Julia"
"Sub029_ToD","1",16,4,8,0,"OA","Night","Julia"
"Sub029_ToD","2",19,1,9,0,"OA","Night","Julia"
"Sub029_ToD","3",19,1,7,0,"OA","Night","Julia"
"Sub029_ToD","Overall",54,6,24,0,"OA","Night","Julia"
"Sub030_ToD","1",18,2,8,0,"OA","Night","Julia"
"Sub030_ToD","2",19,1,7,1,"OA","Night","Julia"
"Sub030_ToD","3",20,0,8,0,"OA","Night","Julia"
"Sub030_ToD","Overall",57,3,23,1,"OA","Night","Julia"
"Sub031_ToD","1",17,3,8,0,"OA","Night","Julia"
"Sub031_ToD","2",20,0,7,1,"OA","Night","Julia"
"Sub031_ToD","3",19,1,8,0,"OA","Night","Julia"
"Sub031_ToD","Overall",56,4,23,1,"OA","Night","Julia"
"Sub032_ToD","1",17,3,8,0,"YA","Morning","Julia"
"Sub032_ToD","2",15,5,8,0,"YA","Morning","Julia"
"Sub032_ToD","3",15,5,8,0,"YA","Morning","Julia"
"Sub032_ToD","Overall",47,13,24,0,"YA","Morning","Julia"
"Sub033_ToD","1",19,1,7,1,"YA","Morning","Julia"
"Sub033_ToD","2",19,1,9,0,"YA","Morning","Julia"
"Sub033_ToD","3",19,1,7,0,"YA","Morning","Julia"
"Sub033_ToD","Overall",57,3,23,1,"YA","Morning","Julia"
"Sub034_ToD","1",12,8,7,1,"YA","Morning","Julia"
"Sub034_ToD","2",13,7,9,0,"YA","Morning","Julia"
"Sub034_ToD","3",13,7,7,0,"YA","Morning","Julia"
"Sub034_ToD","Overall",38,22,23,1,"YA","Morning","Julia"
"Sub035_ToD","1",17,3,7,1,"YA","Night","Julia"
"Sub035_ToD","2",18,2,8,0,"YA","Night","Julia"
"Sub035_ToD","3",19,1,6,2,"YA","Night","Julia"
"Sub035_ToD","Overall",54,6,21,3,"YA","Night","Julia"
"Sub036_ToD","1",13,7,8,0,"OA","Morning","Julia"
"Sub036_ToD","2",15,5,6,2,"OA","Morning","Julia"
"Sub036_ToD","3",15,5,7,1,"OA","Morning","Julia"
"Sub036_ToD","Overall",43,17,21,3,"OA","Morning","Julia"
"Sub037_ToD","1",16,4,8,0,"OA","Morning","Julia"
"Sub037_ToD","2",19,1,8,0,"OA","Morning","Julia"
"Sub037_ToD","3",18,2,8,0,"OA","Morning","Julia"
"Sub037_ToD","Overall",53,7,24,0,"OA","Morning","Julia"
"Sub038_ToD","1",16,4,8,0,"YA","Morning","Julia"
"Sub038_ToD","2",14,6,9,0,"YA","Morning","Julia"
"Sub038_ToD","3",19,1,7,0,"YA","Morning","Julia"
"Sub038_ToD","Overall",49,11,24,0,"YA","Morning","Julia"
"Sub039_ToD","1",17,3,8,0,"OA","Night","Julia"
"Sub039_ToD","2",18,2,9,0,"OA","Night","Julia"
"Sub039_ToD","3",17,3,7,0,"OA","Night","Julia"
"Sub039_ToD","Overall",52,8,24,0,"OA","Night","Julia"
"Sub040_ToD","1",14,6,7,1,"OA","Night","Julia"
"Sub040_ToD","2",17,3,9,0,"OA","Night","Julia"
"Sub040_ToD","3",16,4,7,0,"OA","Night","Julia"
"Sub040_ToD","Overall",47,13,23,1,"OA","Night","Julia"
"Sub041_ToD","1",14,6,8,0,"YA","Morning","Julia"
"Sub041_ToD","2",13,7,9,0,"YA","Morning","Julia"
"Sub041_ToD","3",12,8,6,1,"YA","Morning","Julia"
"Sub041_ToD","Overall",39,21,23,1,"YA","Morning","Julia"
"Sub042_ToD","1",12,8,8,0,"YA","Morning","Julia"
"Sub042_ToD","2",12,8,7,1,"YA","Morning","Julia"
"Sub042_ToD","3",13,7,7,1,"YA","Morning","Julia"
"Sub042_ToD","Overall",37,23,22,2,"YA","Morning","Julia"
"Sub043_ToD","1",12,8,8,0,"OA","Night","Julia"
"Sub043_ToD","2",14,6,8,0,"OA","Night","Julia"
"Sub043_ToD","3",16,4,8,0,"OA","Night","Julia"
"Sub043_ToD","Overall",42,18,24,0,"OA","Night","Julia"
"Sub044_ToD","1",19,1,7,1,"YA","Night","Julia"
"Sub044_ToD","2",18,2,9,0,"YA","Night","Julia"
"Sub044_ToD","3",17,3,7,0,"YA","Night","Julia"
"Sub044_ToD","Overall",54,6,23,1,"YA","Night","Julia"
"Sub045_ToD","1",18,2,8,0,"OA","Night","Julia"
"Sub045_ToD","2",16,4,8,0,"OA","Night","Julia"
"Sub045_ToD","3",18,2,8,0,"OA","Night","Julia"
"Sub045_ToD","Overall",52,8,24,0,"OA","Night","Julia"
"Sub046_ToD","1",17,3,8,0,"OA","Morning","Julia"
"Sub046_ToD","2",20,0,9,0,"OA","Morning","Julia"
"Sub046_ToD","3",20,0,7,0,"OA","Morning","Julia"
"Sub046_ToD","Overall",57,3,24,0,"OA","Morning","Julia"
"Sub047_ToD","1",17,3,8,0,"YA","Morning","Julia"
"Sub047_ToD","2",9,11,9,0,"YA","Morning","Julia"
"Sub047_ToD","3",14,6,7,0,"YA","Morning","Julia"
"Sub047_ToD","Overall",40,20,24,0,"YA","Morning","Julia"
"Sub048_ToD","1",15,5,8,0,"YA","Night","Julia"
"Sub048_ToD","2",16,4,9,0,"YA","Night","Julia"
"Sub048_ToD","3",17,3,7,0,"YA","Night","Julia"
"Sub048_ToD","Overall",48,12,24,0,"YA","Night","Julia"
"Sub049_ToD","1",11,9,8,0,"OA","Night","Julia"
"Sub049_ToD","2",16,4,8,1,"OA","Night","Julia"
"Sub049_ToD","3",15,5,7,0,"OA","Night","Julia"
"Sub049_ToD","Overall",42,18,23,1,"OA","Night","Julia"
"Sub050_ToD","1",19,1,8,0,"YA","Morning","Julia"
"Sub050_ToD","2",17,3,8,0,"YA","Morning","Julia"
"Sub050_ToD","3",18,2,8,0,"YA","Morning","Julia"
"Sub050_ToD","Overall",54,6,24,0,"YA","Morning","Julia"
"Sub051_ToD","1",13,7,8,0,"YA","Night","Julia"
"Sub051_ToD","2",14,6,7,1,"YA","Night","Julia"
"Sub051_ToD","3",15,5,8,0,"YA","Night","Julia"
"Sub051_ToD","Overall",42,18,23,1,"YA","Night","Julia"
"Sub052_ToD","1",13,7,8,0,"YA","Morning","Julia"
"Sub052_ToD","2",14,6,8,0,"YA","Morning","Julia"
"Sub052_ToD","3",16,4,8,0,"YA","Morning","Julia"
"Sub052_ToD","Overall",43,17,24,0,"YA","Morning","Julia"
"Sub053_ToD","1",15,5,7,1,"YA","Night","Julia"
"Sub053_ToD","2",19,1,7,2,"YA","Night","Julia"
"Sub053_ToD","3",16,4,7,0,"YA","Night","Julia"
"Sub053_ToD","Overall",50,10,21,3,"YA","Night","Julia"
"Sub054_ToD","1",10,10,8,0,"OA","Morning","Julia"
"Sub054_ToD","2",17,3,7,2,"OA","Morning","Julia"
"Sub054_ToD","3",16,4,7,0,"OA","Morning","Julia"
"Sub054_ToD","Overall",43,17,22,2,"OA","Morning","Julia"
"Sub055_ToD","1",20,0,6,2,"OA","Morning","Julia"
"Sub055_ToD","2",20,0,8,1,"OA","Morning","Julia"
"Sub055_ToD","3",19,1,6,1,"OA","Morning","Julia"
"Sub055_ToD","Overall",59,1,20,4,"OA","Morning","Julia"
"Sub056_ToD","1",19,1,8,0,"OA","Morning","Julia"
"Sub056_ToD","2",20,0,8,0,"OA","Morning","Julia"
"Sub056_ToD","3",20,0,8,0,"OA","Morning","Julia"
"Sub056_ToD","Overall",59,1,24,0,"OA","Morning","Julia"
"Sub057_ToD","1",11,9,8,0,"OA","Morning","Julia"
"Sub057_ToD","2",10,10,8,0,"OA","Morning","Julia"
"Sub057_ToD","3",9,11,8,0,"OA","Morning","Julia"
"Sub057_ToD","Overall",30,30,24,0,"OA","Morning","Julia"
"Sub058_ToD","1",17,3,8,0,"OA","Morning","Julia"
"Sub058_ToD","2",18,2,8,0,"OA","Morning","Julia"
"Sub058_ToD","3",17,3,8,0,"OA","Morning","Julia"
"Sub058_ToD","Overall",52,8,24,0,"OA","Morning","Julia"
"Sub059_ToD","1",18,2,8,0,"YA","Night","Julia"
"Sub059_ToD","2",20,0,9,0,"YA","Night","Julia"
"Sub059_ToD","3",19,1,7,0,"YA","Night","Julia"
"Sub059_ToD","Overall",57,3,24,0,"YA","Night","Julia"
"Sub060_ToD","1",15,5,6,2,"OA","Morning","Julia"
"Sub060_ToD","2",10,10,8,0,"OA","Morning","Julia"
"Sub060_ToD","3",8,12,8,0,"OA","Morning","Julia"
"Sub060_ToD","Overall",33,27,22,2,"OA","Morning","Julia"
"Sub061_ToD","1",18,2,7,1,"YA","Morning","Julia"
"Sub061_ToD","2",20,0,8,0,"YA","Morning","Julia"
"Sub061_ToD","3",20,0,8,0,"YA","Morning","Julia"
"Sub061_ToD","Overall",58,2,23,1,"YA","Morning","Julia"
"Sub062_ToD","1",15,5,8,0,"OA","Night","Julia"
"Sub062_ToD","2",17,3,9,0,"OA","Night","Julia"
"Sub062_ToD","3",16,4,7,0,"OA","Night","Julia"
"Sub062_ToD","Overall",48,12,24,0,"OA","Night","Julia"
"Sub063_ToD","1",6,14,8,0,"YA","Night","Julia"
"Sub063_ToD","2",9,11,9,0,"YA","Night","Julia"
"Sub063_ToD","3",6,14,7,0,"YA","Night","Julia"
"Sub063_ToD","Overall",21,39,24,0,"YA","Night","Julia"
"Sub064_ToD","1",12,8,7,1,"OA","Night","Julia"
"Sub064_ToD","2",17,3,7,1,"OA","Night","Julia"
"Sub064_ToD","3",16,4,8,0,"OA","Night","Julia"
"Sub064_ToD","Overall",45,15,22,2,"OA","Night","Julia"
"Sub065_ToD","1",15,5,8,0,"YA","Morning","Julia"
"Sub065_ToD","2",16,4,7,1,"YA","Morning","Julia"
"Sub065_ToD","3",13,7,8,0,"YA","Morning","Julia"
"Sub065_ToD","Overall",44,16,23,1,"YA","Morning","Julia"
"Sub066_ToD","1",14,6,5,3,"YA","Night","Julia"
"Sub066_ToD","2",11,9,7,1,"YA","Night","Julia"
"Sub066_ToD","3",10,10,6,2,"YA","Night","Julia"
"Sub066_ToD","Overall",35,25,18,6,"YA","Night","Julia"
"Sub067_ToD","1",15,5,8,0,"OA","Night","Julia"
"Sub067_ToD","2",18,2,9,0,"OA","Night","Julia"
"Sub067_ToD","3",19,1,7,0,"OA","Night","Julia"
"Sub067_ToD","Overall",52,8,24,0,"OA","Night","Julia"
"Sub068_ToD","1",16,4,8,0,"YA","Morning","Julia"
"Sub068_ToD","2",19,1,8,0,"YA","Morning","Julia"
"Sub068_ToD","3",12,8,7,1,"YA","Morning","Julia"
"Sub068_ToD","Overall",47,13,23,1,"YA","Morning","Julia"
"Sub069_ToD","1",16,4,8,0,"OA","Night","Julia"
"Sub069_ToD","2",17,3,7,1,"OA","Night","Julia"
"Sub069_ToD","3",18,2,8,0,"OA","Night","Julia"
"Sub069_ToD","Overall",51,9,23,1,"OA","Night","Julia"
"Sub070_ToD","1",18,2,8,0,"YA","Morning","Julia"
"Sub070_ToD","2",19,1,9,0,"YA","Morning","Julia"
"Sub070_ToD","3",17,3,7,0,"YA","Morning","Julia"
"Sub070_ToD","Overall",54,6,24,0,"YA","Morning","Julia"
"Sub071_ToD","1",19,1,8,0,"YA","Night","Julia"
"Sub071_ToD","2",18,2,9,0,"YA","Night","Julia"
"Sub071_ToD","3",18,2,7,0,"YA","Night","Julia"
"Sub071_ToD","Overall",55,5,24,0,"YA","Night","Julia"
"Sub072_ToD","1",14,6,7,1,"OA","Morning","Julia"
"Sub072_ToD","2",20,0,8,1,"OA","Morning","Julia"
"Sub072_ToD","3",18,2,6,1,"OA","Morning","Julia"
"Sub072_ToD","Overall",52,8,21,3,"OA","Morning","Julia"
"Sub073_ToD","1",8,12,8,0,"OA","Night","Julia"
"Sub073_ToD","2",2,18,7,1,"OA","Night","Julia"
"Sub073_ToD","3",11,9,7,1,"OA","Night","Julia"
"Sub073_ToD","Overall",21,39,22,2,"OA","Night","Julia"
"Sub074_ToD","1",7,13,8,0,"OA","Morning","Julia"
"Sub074_ToD","2",9,11,8,0,"OA","Morning","Julia"
"Sub074_ToD","3",8,12,7,1,"OA","Morning","Julia"
"Sub074_ToD","Overall",24,36,23,1,"OA","Morning","Julia"
"Sub075_ToD","1",17,3,8,0,"OA","Night","Julia"
"Sub075_ToD","2",18,2,9,0,"OA","Night","Julia"
"Sub075_ToD","3",19,1,7,0,"OA","Night","Julia"
"Sub075_ToD","Overall",54,6,24,0,"OA","Night","Julia"
"Sub076_ToD","1",16,4,6,2,"YA","Night","Julia"
"Sub076_ToD","2",18,2,7,1,"YA","Night","Julia"
"Sub076_ToD","3",19,1,7,1,"YA","Night","Julia"
"Sub076_ToD","Overall",53,7,20,4,"YA","Night","Julia"
"Sub077_ToD","1",19,1,8,0,"OA","Morning","Julia"
"Sub077_ToD","2",17,3,7,1,"OA","Morning","Julia"
"Sub077_ToD","3",19,1,8,0,"OA","Morning","Julia"
"Sub077_ToD","Overall",55,5,23,1,"OA","Morning","Julia"
"Sub078_ToD","1",17,3,7,1,"YA","Night","Julia"
"Sub078_ToD","2",17,3,9,0,"YA","Night","Julia"
"Sub078_ToD","3",16,4,7,0,"YA","Night","Julia"
"Sub078_ToD","Overall",50,10,23,1,"YA","Night","Julia"
"Sub079_ToD","1",18,2,8,0,"OA","Morning","Julia"
"Sub079_ToD","2",17,3,8,0,"OA","Morning","Julia"
"Sub079_ToD","3",15,5,8,0,"OA","Morning","Julia"
"Sub079_ToD","Overall",50,10,24,0,"OA","Morning","Julia"
"Sub080_ToD","1",14,6,8,0,"OA","Night","Julia"
"Sub080_ToD","2",17,3,9,0,"OA","Night","Julia"
"Sub080_ToD","3",20,0,5,2,"OA","Night","Julia"
"Sub080_ToD","Overall",51,9,22,2,"OA","Night","Julia"
"Sub081_ToD","1",15,5,8,0,"OA","Night","Julia"
"Sub081_ToD","2",19,1,8,0,"OA","Night","Julia"
"Sub081_ToD","3",19,1,8,0,"OA","Night","Julia"
"Sub081_ToD","Overall",53,7,24,0,"OA","Night","Julia"
"Sub082_ToD","1",15,5,8,0,"YA","Morning","Julia"
"Sub082_ToD","2",14,6,8,0,"YA","Morning","Julia"
"Sub082_ToD","3",11,9,8,0,"YA","Morning","Julia"
"Sub082_ToD","Overall",40,20,24,0,"YA","Morning","Julia"
"Sub083_ToD","1",20,0,8,0,"OA","Morning","Julia"
"Sub083_ToD","2",17,3,8,0,"OA","Morning","Julia"
"Sub083_ToD","3",19,1,8,0,"OA","Morning","Julia"
"Sub083_ToD","Overall",56,4,24,0,"OA","Morning","Julia"
"Sub084_ToD","1",18,2,7,1,"YA","Morning","Julia"
"Sub084_ToD","2",19,1,9,0,"YA","Morning","Julia"
"Sub084_ToD","3",19,1,7,0,"YA","Morning","Julia"
"Sub084_ToD","Overall",56,4,23,1,"YA","Morning","Julia"
"Sub085_ToD","1",14,6,8,0,"YA","Morning","Julia"
"Sub085_ToD","2",13,7,8,0,"YA","Morning","Julia"
"Sub085_ToD","3",13,7,7,1,"YA","Morning","Julia"
"Sub085_ToD","Overall",40,20,23,1,"YA","Morning","Julia"
"Sub086_ToD","1",15,5,8,0,"YA","Morning","Julia"
"Sub086_ToD","2",17,3,8,0,"YA","Morning","Julia"
"Sub086_ToD","3",18,2,8,0,"YA","Morning","Julia"
"Sub086_ToD","Overall",50,10,24,0,"YA","Morning","Julia"
"Sub087_ToD","1",8,12,8,0,"YA","Morning","Julia"
"Sub087_ToD","2",9,11,9,0,"YA","Morning","Julia"
"Sub087_ToD","3",9,11,7,0,"YA","Morning","Julia"
"Sub087_ToD","Overall",26,34,24,0,"YA","Morning","Julia"
"Sub088_ToD","1",19,1,8,0,"YA","Morning","Julia"
"Sub088_ToD","2",20,0,8,0,"YA","Morning","Julia"
"Sub088_ToD","3",19,1,7,1,"YA","Morning","Julia"
"Sub088_ToD","Overall",58,2,23,1,"YA","Morning","Julia"
"Sub089_ToD","1",20,0,8,0,"OA","Morning","Julia"
"Sub089_ToD","2",20,0,8,0,"OA","Morning","Julia"
"Sub089_ToD","3",20,0,8,0,"OA","Morning","Julia"
"Sub089_ToD","Overall",60,0,24,0,"OA","Morning","Julia"
"Sub090_ToD","1",16,4,8,0,"OA","Morning","Julia"
"Sub090_ToD","2",16,4,9,0,"OA","Morning","Julia"
"Sub090_ToD","3",17,3,7,0,"OA","Morning","Julia"
"Sub090_ToD","Overall",49,11,24,0,"OA","Morning","Julia"
"Sub091_ToD","1",20,0,8,0,"YA","Morning","Julia"
"Sub091_ToD","2",19,1,8,0,"YA","Morning","Julia"
"Sub091_ToD","3",16,4,7,1,"YA","Morning","Julia"
"Sub091_ToD","Overall",55,5,23,1,"YA","Morning","Julia"
"Sub092_ToD","1",18,2,8,0,"OA","Night","Julia"
"Sub092_ToD","2",17,3,8,0,"OA","Night","Julia"
"Sub092_ToD","3",19,1,8,0,"OA","Night","Julia"
"Sub092_ToD","Overall",54,6,24,0,"OA","Night","Julia"
"Sub093_ToD","1",19,1,8,0,"OA","Night","Julia"
"Sub093_ToD","2",19,1,8,0,"OA","Night","Julia"
"Sub093_ToD","3",18,2,8,0,"OA","Night","Julia"
"Sub093_ToD","Overall",56,4,24,0,"OA","Night","Julia"
"Sub094_ToD","1",19,1,8,0,"YA","Night","Julia"
"Sub094_ToD","2",20,0,9,0,"YA","Night","Julia"
"Sub094_ToD","3",20,0,5,2,"YA","Night","Julia"
"Sub094_ToD","Overall",59,1,22,2,"YA","Night","Julia"
"Sub095_ToD","1",10,10,8,0,"YA","Night","Julia"
"Sub095_ToD","2",9,11,8,0,"YA","Night","Julia"
"Sub095_ToD","3",8,12,8,0,"YA","Night","Julia"
"Sub095_ToD","Overall",27,33,24,0,"YA","Night","Julia"
"Sub096_ToD","1",17,3,8,0,"YA","Night","Julia"
"Sub096_ToD","2",18,2,9,0,"YA","Night","Julia"
"Sub096_ToD","3",13,7,6,1,"YA","Night","Julia"
"Sub096_ToD","Overall",48,12,23,1,"YA","Night","Julia"
"Sub097_ToD","1",17,3,7,1,"YA","Night","Julia"
"Sub097_ToD","2",17,3,6,2,"YA","Night","Julia"
"Sub097_ToD","3",14,6,5,3,"YA","Night","Julia"
"Sub097_ToD","Overall",48,12,18,6,"YA","Night","Julia"
"Sub098_ToD","1",10,10,8,0,"YA","Night","Julia"
"Sub098_ToD","2",11,9,8,0,"YA","Night","Julia"
"Sub098_ToD","3",9,11,8,0,"YA","Night","Julia"
"Sub098_ToD","Overall",30,30,24,0,"YA","Night","Julia"
"Sub099_ToD","1",20,0,8,0,"OA","Night","Julia"
"Sub099_ToD","2",18,2,8,0,"OA","Night","Julia"
"Sub099_ToD","3",18,2,7,1,"OA","Night","Julia"
"Sub099_ToD","Overall",56,4,23,1,"OA","Night","Julia"
"Sub100_ToD","1",12,8,7,1,"OA","Night","Julia"
"Sub100_ToD","2",13,7,7,1,"OA","Night","Julia"
"Sub100_ToD","3",12,8,7,1,"OA","Night","Julia"
"Sub100_ToD","Overall",37,23,21,3,"OA","Night","Julia"
"Sub101_ToD","1",13,7,8,0,"OA","Night","Julia"
"Sub101_ToD","2",18,2,8,0,"OA","Night","Julia"
"Sub101_ToD","3",20,0,8,0,"OA","Night","Julia"
"Sub101_ToD","Overall",51,9,24,0,"OA","Night","Julia"
"Sub102_ToD","1",19,1,7,1,"YA","Night","Julia"
"Sub102_ToD","2",19,1,8,1,"YA","Night","Julia"
"Sub102_ToD","3",17,3,7,0,"YA","Night","Julia"
"Sub102_ToD","Overall",55,5,22,2,"YA","Night","Julia"
"Sub103_ToD","1",18,2,8,0,"YA","Night","Julia"
"Sub103_ToD","2",15,5,9,0,"YA","Night","Julia"
"Sub103_ToD","3",12,8,7,0,"YA","Night","Julia"
"Sub103_ToD","Overall",45,15,24,0,"YA","Night","Julia"
"Sub104_ToD","1",18,2,8,0,"OA","Night","Julia"
"Sub104_ToD","2",15,5,9,0,"OA","Night","Julia"
"Sub104_ToD","3",15,5,7,0,"OA","Night","Julia"
"Sub104_ToD","Overall",48,12,24,0,"OA","Night","Julia"
"Sub105_ToD","1",14,6,8,0,"YA","Morning","Julia"
"Sub105_ToD","2",11,9,8,1,"YA","Morning","Julia"
"Sub105_ToD","3",9,11,7,0,"YA","Morning","Julia"
"Sub105_ToD","Overall",34,26,23,1,"YA","Morning","Julia"
"Sub106_ToD","1",18,2,7,1,"YA","Morning","Julia"
"Sub106_ToD","2",20,0,8,1,"YA","Morning","Julia"
"Sub106_ToD","3",19,1,6,1,"YA","Morning","Julia"
"Sub106_ToD","Overall",57,3,21,3,"YA","Morning","Julia"
